編號,成語,釋義,用法說明-語義說明,三歲版解釋
1,一毛不拔,"一根毫毛也不願意拔取。比喻自私自利，不肯貢獻出些微的力量。語本《孟子．盡心上》。後亦用「一毛不拔」形容人非常吝嗇。 
△「愛財如命」、「摩頂放踵」",形容人非常吝嗇。貶義。,說一個人很小氣，連一毛錢都不肯給別人任何東西
2,掩耳盜鈴,"「掩耳盜鈴」之「鈴」，典源作「鍾」。「鍾」同「鐘」。小偷盜鐘時，怕鐘所發出的聲音會引他人前來搶奪，因而急忙掩住自己的耳朵。典出《呂氏春秋．不苟論．自知》。後用「掩耳盜鈴」比喻妄想瞞騙他人，結果卻只是欺騙自己而已。
△「自欺欺人」。",比喻妄想瞞騙他人，結果卻只是欺騙自己而已。貶義。,明明想騙別人，卻用荒唐方法，最後只騙到自己。
3,囫圇吞棗,"「囫圇吞棗」之「囫圇」，典源作「渾崙」。「渾崙」同「囫圇」。囫圇，整個。「囫圇吞棗」指吃棗子時不加咀嚼，把整個都吞下去。＃語本《佛果圜悟禪師碧巖錄．卷三．趙州大蘿蔔頭》。後用「囫圇吞棗」比喻理解事物籠統含糊，或為學不求甚解。
△「生吞活剝」",比喻理解事物籠統含糊，或為學不求甚解。貶義。,不仔細想或看就匆匆接受，也不問問題，結果沒弄清楚。
4,朝三暮四,"餵養猴子時，早晨給三升橡樹果實，晚上給四升，但亦可改變為「朝四暮三」。本為養猴人詐騙猴子的故事。典出《莊子．齊物論》。原用以比喻只變名目，不改實質。後用「朝三暮四」比喻人心意不定、反覆無常。亦可用於比喻事物變化無定。
△「反覆無常」、「出爾反爾」、「朝秦暮楚」",比喻心意不定、反覆無常。貶義。,常常改變主意，前說這個後又說那個，讓人沒辦法相信他。
5,竭澤而漁,"澤，水流匯聚的地方。「竭澤而漁」指排盡澤水捕魚。比喻取盡所有，不留餘地。＃語出《呂氏春秋．孝行覽．義賞》。
△「殺雞取卵」",比喻盡其所有，不留餘地。,把池塘水放光把魚都抓走，眼前有利但讓以後沒得用。
6,舉一反三,"反，推論。「舉一反三」指從一件事情類推，而知道其他同類的事情。語本《論語．述而》。後用「舉一反三」形容人於學習中善於觸類旁通。
△「聞一知十」",形容人於學習中善於觸類旁通。褒義。,學會一件事後，能用同樣的方法想到其他相似的做法
7,青出於藍,"藍，蓼（ㄌㄧㄠˇ）藍，可以提取靛（ㄉㄧㄢˋ）青染料的植物。「青出於藍」指青色是從蓼藍裡提煉出來的，但是顏色比蓼藍還深。比喻求學能使人進步。＃語本《荀子．勸學》。後用「青出於藍」比喻弟子勝過老師，或後輩優於前輩。
△「冰寒於水」、「後來居上」",比喻弟子勝過老師，或後輩優於前輩。褒義。,學生努力學習，能比老師更強，後來的人更厲害。
8,含沙射影,"「含沙射影」本作「含沙射人」。相傳古代有一種水中怪物叫「蜮」，會把口中所含的沙粒射到人身上或影子上，使人生病甚至死亡。＃語本晉．干寶《搜神記》卷一二。後以「含沙射影」比喻間接地詆毀、陷害別人。
△「含血噴人」、「暗箭傷人」",比喻間接地詆毀、陷害別人。貶義。,暗中說別人的壞話或陷害別人，讓對方受到傷害或被誤會。
9,草木皆兵,"見到風吹草動，都以為是敵兵。語本《晉書．卷一一四．苻堅載記下》。後用「草木皆兵」形容疑神疑鬼、驚恐不安。
△「杯弓蛇影」、「風聲鶴唳」、「風聲鶴唳，草木皆兵」",形容疑神疑鬼、驚恐不安。,看到一點風吹草動就以為是敵人，很容易害怕和緊張。
10,東窗事發,"在東窗下的密謀已經被揭發。＃語出元．劉一清《錢塘遺事．卷二．東窗事發》。後用「東窗事發」指陰謀或非法勾當敗露。
△「露出馬腳」",指陰謀或非法勾當敗漏。,偷偷做的壞事或壞計畫被人發現，不能再藏起來了。
